id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
30124441,R5 BEAUTIFUL ROOM ON ATTIC,32862540,Patrycja,Eastville,51.47405,-2.55047,Private room,40,1,50,5/11/2021,1.35,9,67
30142663,The Alma Taverns Boutique Suites - Room 1 - Hopewell,65192629,Hopewell,Clifton Down,51.46255,-2.61483,Hotel room,81,1,83,5/11/2021,2.32,143,317
30144539,The Alma Taverns Boutique Suites Room 2 - Hopewell,65192629,Hopewell,Clifton Down,51.46255,-2.61483,Hotel room,68,1,86,19/12/2021,2.4,143,333
30192770,The Alma Taverns Boutique Suites - Room 3 - Hopewell,65192629,Hopewell,Clifton,51.46251,-2.617,Hotel room,68,1,57,24/11/2021,1.6,143,325
30192991,The Alma Taverns Boutique Suites - Room 4 - Hopewell,65192629,Hopewell,Clifton Down,51.46255,-2.61483,Private room,81,1,47,3/12/2021,1.31,143,328
30193144,The Alma Taverns Boutique Suites - Room 5 - Hopewell,65192629,Hopewell,Clifton Down,51.46255,-2.61483,Hotel room,83,1,51,9/11/2021,1.45,143,331
30261678,Double Bed Musicians Den in Trendy St. Werburghs,79599223,Ralph,Ashley,51.46775,-2.57278,Private room,25,4,17,1/10/2020,0.46,2,32
30308613,Stylish flat next to Temple Meads train station,227623232,Ana,Lawrence Hill,51.45318,-2.58,Entire home/apt,75,3,48,31/7/2021,1.38,2,0
30317406,Bedroom in central flat by Temple Meads Station,33280680,Ulrike,Lawrence Hill,51.45219,-2.57849,Private room,32,2,24,30/10/2021,0.94,1,9
30398903,Cuthbert House - Two Double Bedrooms,73802134,Alys,Brislington West,51.43938,-2.55303,Entire home/apt,88,3,31,13/12/2021,0.94,1,352
30420115,Cosy Tree House with private balcony + lake view,23560849,Ruby,Eastville,51.47879,-2.5555,Entire home/apt,85,2,88,14/11/2021,2.39,2,321
30423033,"Cool, arty, family home in Bristol",12159297,Dom,Cotham,51.46779,-2.60699,Entire home/apt,280,2,60,5/12/2021,1.66,1,50
30699166,Mon-Fri Hotel Quality Living-Near M4/M5 & City R2,65463753,Kiron,Henbury & Brentry,51.5067,-2.6117,Private room,42,1,2,31/10/2019,0.07,3,314
30702039,Self-Contained Annexe Flat with Parking & Garden,11788371,Florina,Southmead,51.50589,-2.59562,Entire home/apt,67,1,94,28/11/2021,2.61,1,100
30760761,Warm and comfortable home in Westbury Park.,13748323,Janet,Westbury-on-Trym & Henleaze,51.47881,-2.61425,Entire home/apt,125,3,64,6/12/2021,1.8,1,13
30760891,Superb Peaceful 1 bed apartment Free Parking,178961162,Ella,St George West,51.46242,-2.5433,Entire home/apt,66,1,136,23/10/2021,3.7,2,0
30880692,"Off Whiteladies Rd nr Uni, BBC, Hospitals, Clifton",70042478,Alex,Clifton Down,51.462448,-2.60826,Entire home/apt,121,2,136,6/12/2021,3.75,1,1
30921805,City Centre 2 Bed Maisonette,46710015,Davinia,Central,51.45661,-2.59796,Entire home/apt,149,3,60,18/12/2021,2.03,2,3
31058068,STUNNING City Centre Living - with parking,203069597,Max,Central,51.45641,-2.59799,Entire home/apt,137,2,80,10/12/2021,3.64,1,43
31290151,Luxurious flat with own entrance and parking,9172761,(Email hidden by Airbnb),Clifton,51.45582,-2.61101,Entire home/apt,77,2,242,20/12/2021,6.74,2,71
31337100,Artist Designed House Totterdown,2337906,Juliette,Windmill Hill,51.43963,-2.58305,Entire home/apt,147,4,54,21/11/2021,1.51,1,4
31366949,"Newly renovated , Tiny House , 1 Bed Studio",124962701,Guy,Clifton,51.45204,-2.61723,Entire home/apt,74,2,23,9/11/2021,5.43,1,12
31433074,"Light, peaceful double in characterful house",33415791,Claire,Easton,51.46606,-2.56499,Private room,35,14,8,7/12/2020,0.23,1,206
31464047,Modern one bed apartment close to the centre.,66622397,Alice,Southville,51.44119,-2.5958,Entire home/apt,97,1,49,25/9/2021,1.39,1,0
31505243,Marsh House Stay,77234180,Fran,Central,51.45283,-2.59599,Entire home/apt,80,2,47,18/12/2021,1.61,1,300
31555108,No.73 - Boutique style rooms near Glos rd,64553182,Jodie,Bishopston & Ashley Down,51.48062,-2.58427,Private room,109,1,20,9/12/2021,0.65,3,71
31642656,"Spacious, beautiful room 5 mins Gloucester Road.",66549798,Hannah,Bishopston & Ashley Down,51.4771,-2.58105,Private room,120,1,0,,,2,342
31740188,Modern luxury apartment in Bristol City Centre,236481623,Mairead,Central,51.46164,-2.59085,Entire home/apt,104,2,135,19/12/2021,3.83,18,265
31791712,Bright 1 double bed apartment near Cabot Circus,238258865,Sam,Ashley,51.4598,-2.58409,Entire home/apt,86,1,78,16/12/2021,2.26,1,40
